"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1785748477993634085",="1785748477989634085","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022123122001180181458141235","0.00","0.00","没有申请退款","无退款申请","2022-12-31 18:12:19","2022-12-31 18:12:36"
="1785748477994634085",="1785748477989634085","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易成功","8809754820863",="2022123122001180181458141235","0.00","0.00","没有申请退款","无退款申请","2022-12-31 18:12:19","2022-12-31 18:12:36"
="3128401299718283653",="3128401299717283653","【年货价】SERUMKIND韩国补水滋润呵护干皮适用桦树茸深层营养精华液30ml","319.00","1","8809754820047","null","null","null","交易成功","8809754820047",="2022123122001177971453307867","145.00","145.00","没有申请退款","无退款申请","2022-12-31 17:48:12","2022-12-31 17:48:17"
="3128401299719283653",="3128401299717283653","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022123122001177971453307867","0.00","0.00","没有申请退款","无退款申请","2022-12-31 17:48:12","2022-12-31 17:48:17"
="3128401299720283653",="3128401299717283653","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","1","8809754820856","null","null","null","交易成功","8809754820856",="2022123122001177971453307867","0.00","0.00","没有申请退款","无退款申请","2022-12-31 17:48:12","2022-12-31 17:48:17"
="3128401299721283653",="3128401299717283653","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","2","8809754820887","null","null","null","交易成功","8809754820887",="2022123122001177971453307867","0.00","0.00","没有申请退款","无退款申请","2022-12-31 17:48:12","2022-12-31 17:48:17"
="3128401299722283653",="3128401299717283653","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022123122001177971453307867","0.00","0.00","没有申请退款","无退款申请","2022-12-31 17:48:12","2022-12-31 17:48:17"
="3128401299723283653",="3128401299717283653","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易成功","8809754820863",="2022123122001177971453307867","0.00","0.00","没有申请退款","无退款申请","2022-12-31 17:48:12","2022-12-31 17:48:17"
="3126950643533194000",="3126950643532194000","【年货价】SUREBASE烁贝思韩国无厚重半哑光妆感轻透丝滑粉底液 N1色号 30ml","259.00","1","null","颜色分类：白色;净含量：30ml","null","null","交易成功","null",="2022123022001186001454287053","60.10","60.10","没有申请退款","无退款申请","2022-12-30 22:40:29","2022-12-30 22:40:34"
="3126950643534194000",="3126950643532194000","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","1","null","null","null","null","交易成功","null",="2022123022001186001454287053","0.00","0.00","没有申请退款","无退款申请","2022-12-30 22:40:29","2022-12-30 22:40:34"
="3126950643535194000",="3126950643532194000","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001186001454287053","0.00","0.00","没有申请退款","无退款申请","2022-12-30 22:40:29","2022-12-30 22:40:34"
="3125575872460676648",="3125575872459676648","【年货价】SERUMKIND韩国4效合一多重护理迷你精华4件套6ml * 4个","229.00","1","8809754820085","null","null","null","交易成功","8809754820085",="2022123022001151781458447376","150.48","150.48","没有申请退款","无退款申请","2022-12-30 22:03:19","2022-12-30 22:03:29"
="3125575872461676648",="3125575872459676648","【年货价】SERUMKIND韩国补水滋润呵护干皮适用桦树茸深层营养精华液30ml","319.00","1","8809754820047","null","null","null","交易成功","8809754820047",="2022123022001151781458447376","125.00","125.00","没有申请退款","无退款申请","2022-12-30 22:03:19","2022-12-30 22:03:29"
="3125575872462676648",="3125575872459676648","【赠品专用】SERUMKIND纯棉化妆包袋","59.00","1","8809754821099","null","null","null","交易成功","8809754821099",="2022123022001151781458447376","0.00","0.00","没有申请退款","无退款申请","2022-12-30 22:03:19","2022-12-30 22:03:29"
