主订单编号,支付单号,标题,购买数量,商品属性,订单状态,买家实际支付金额,订单创建时间,订单付款时间
"=""3126950643532194000""","=""2022123022001186001454287053""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-30 22:40:29,2022-12-30 22:40:34
"=""3126950643532194000""","=""2022123022001186001454287053""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-30 22:40:29,2022-12-30 22:40:34
"=""3125575872459676648""","=""2022123022001151781458447376""",【年货价】SERUMKIND韩国4效合一多重护理迷你精华4件套6ml * 4个,1,,交易成功,150.48,2022-12-30 22:03:19,2022-12-30 22:03:29
"=""3125575872459676648""","=""2022123022001151781458447376""",【年货价】SERUMKIND韩国补水滋润呵护干皮适用桦树茸深层营养精华液30ml,1,,交易成功,125.0,2022-12-30 22:03:19,2022-12-30 22:03:29
"=""3125575872459676648""","=""2022123022001151781458447376""",【赠品专用】SERUMKIND纯棉化妆包袋,1,,交易成功,0.0,2022-12-30 22:03:19,2022-12-30 22:03:29
"=""3125575872459676648""","=""2022123022001151781458447376""",【赠品专用】SERUMKIND精华液小样1ml*3,3,,交易成功,0.0,2022-12-30 22:03:19,2022-12-30 22:03:29
"=""3125575872459676648""","=""2022123022001151781458447376""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,2,,交易成功,0.0,2022-12-30 22:03:19,2022-12-30 22:03:29
"=""3125575872459676648""","=""2022123022001151781458447376""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-30 22:03:19,2022-12-30 22:03:29
"=""3125575872459676648""","=""2022123022001151781458447376""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,2,,交易成功,0.0,2022-12-30 22:03:19,2022-12-30 22:03:29
"=""1784117676097251398""","=""2022123022001105461411468821""",【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,1,净含量：50ml,交易成功,95.17,2022-12-30 18:02:06,2022-12-30 18:09:30
"=""1784117676097251398""","=""2022123022001105461411468821""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-30 18:02:06,2022-12-30 18:09:30
"=""1784117676097251398""","=""2022123022001105461411468821""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-30 18:02:06,2022-12-30 18:09:30
"=""1784117676097251398""","=""2022123022001105461411468821""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-30 18:02:06,2022-12-30 18:09:30
"=""1784117676097251398""","=""2022123022001105461411468821""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-30 18:02:06,2022-12-30 18:09:30
"=""3126166239796315255""","=""2022123022001155121451173157""",【年货价】SERUMKIND韩国锁水滋润补水保湿冰岛地衣精华液30ml,1,,交易成功,189.79,2022-12-30 16:29:22,2022-12-30 16:29:28
